n,predicted_prime_at,is_prime,is_prime_next,Phi_cent,Phi_choice,Spike_basic,RuptureSpike,Peak_ok,GateC,FinalSpike
406,407,False,False,0.992955838526145,0.992955838526145,True,True,True,False,False
408,409,False,True,0.995767540289761,0.995767540289761,True,True,True,True,True
418,419,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
420,421,False,True,0.996089294443539,0.996089294443539,True,True,True,True,True
430,431,False,True,0.994577006507592,0.994577006507592,True,True,True,True,True
432,433,False,True,0.996281231841952,0.996281231841952,True,True,True,True,True
436,437,False,False,0.994041170097508,0.994041170097508,True,True,True,False,False
438,439,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
442,443,False,True,0.994036324207102,0.994036324207102,True,True,True,True,True
448,449,False,True,0.996049267952591,0.996049267952591,True,True,True,True,True
450,451,False,False,0.995767540289761,0.995767540289761,True,True,True,False,False
456,457,False,True,0.995442708333333,0.995442708333333,True,True,True,True,True
460,461,False,True,0.994712222900142,0.994712222900142,True,True,True,True,True
462,463,False,True,0.995926680244399,0.995926680244399,True,True,True,True,True
466,467,False,True,0.993501218521527,0.993501218521527,True,True,True,True,True
472,473,False,False,0.995121951219512,0.995121951219512,True,True,True,False,False
478,479,False,True,0.993501218521527,0.993501218521527,True,True,True,True,True
480,481,False,False,0.996046051866496,0.996046051866496,True,True,True,False,False
486,487,False,True,0.995933306222041,0.995933306222041,True,True,True,True,True
490,491,False,True,0.995523906408952,0.995523906408952,True,True,True,True,True
492,493,False,False,0.995523906408952,0.995523906408952,True,True,True,False,False
498,499,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
502,503,False,True,0.994311255587160,0.994311255587160,True,True,True,True,True
508,509,False,True,0.994581414250881,0.994581414250881,True,True,True,True,True
516,517,False,False,0.995117982099268,0.995117982099268,True,True,True,False,False
520,521,False,True,0.995767540289761,0.995767540289761,True,True,True,True,True
522,523,False,True,0.995929995929996,0.995929995929996,True,True,True,True,True
526,527,False,False,0.991883116883117,0.991883116883117,True,True,True,False,False
528,529,False,False,0.995659251220836,0.995659251220836,True,True,True,False,False
532,533,False,False,0.994712222900142,0.994712222900142,True,True,True,False,False
540,541,False,True,0.995659251220836,0.995659251220836,True,True,True,True,True
546,547,False,True,0.995520260639381,0.995520260639381,True,True,True,True,True
550,551,False,False,0.994712222900142,0.994712222900142,True,True,True,False,False
556,557,False,True,0.994581414250881,0.994581414250881,True,True,True,True,True
558,559,False,False,0.995523906408952,0.995523906408952,True,True,True,False,False
562,563,False,True,0.993501218521527,0.993501218521527,True,True,True,True,True
568,569,False,True,0.994311255587160,0.994311255587160,True,True,True,True,True
570,571,False,True,0.995926680244399,0.995926680244399,True,True,True,True,True
576,577,False,True,0.995933306222041,0.995933306222041,True,True,True,True,True
582,583,False,False,0.994577006507592,0.994577006507592,True,True,True,False,False
586,587,False,True,0.992691839220463,0.992691839220463,True,True,True,True,True
588,589,False,False,0.995767540289761,0.995767540289761,True,True,True,False,False
592,593,False,True,0.995770982433312,0.995770982433312,True,True,True,True,True
598,599,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
600,601,False,True,0.996200814111262,0.996200814111262,True,True,True,True,True
606,607,False,True,0.994577006507592,0.994577006507592,True,True,True,True,True
610,611,False,False,0.994036324207102,0.994036324207102,True,True,True,False,False
612,613,False,True,0.995767540289761,0.995767540289761,True,True,True,True,True
616,617,False,True,0.995442708333333,0.995442708333333,True,True,True,True,True
618,619,False,True,0.995659251220836,0.995659251220836,True,True,True,True,True
628,629,False,False,0.994041170097508,0.994041170097508,True,True,True,False,False
630,631,False,True,0.995764092538286,0.995764092538286,True,True,True,True,True
640,641,False,True,0.995933306222041,0.995933306222041,True,True,True,True,True
642,643,False,True,0.995659251220836,0.995659251220836,True,True,True,True,True
646,647,False,True,0.994577006507592,0.994577006507592,True,True,True,True,True
648,649,False,False,0.996049267952591,0.996049267952591,True,True,True,False,False
652,653,False,True,0.994581414250881,0.994581414250881,True,True,True,True,True
658,659,False,True,0.994577006507592,0.994577006507592,True,True,True,True,True
660,661,False,True,0.996089294443539,0.996089294443539,True,True,True,True,True
666,667,False,False,0.994712222900142,0.994712222900142,True,True,True,False,False
670,671,False,False,0.994577006507592,0.994577006507592,True,True,True,False,False
672,673,False,True,0.996046051866496,0.996046051866496,True,True,True,True,True
676,677,False,True,0.994311255587160,0.994311255587160,True,True,True,True,True
682,683,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
688,689,False,False,0.995446414051065,0.995446414051065,True,True,True,False,False
690,691,False,True,0.995520260639381,0.995520260639381,True,True,True,True,True
696,697,False,False,0.995442708333333,0.995442708333333,True,True,True,False,False
700,701,False,True,0.995767540289761,0.995767540289761,True,True,True,True,True
702,703,False,False,0.995767540289761,0.995767540289761,True,True,True,False,False
